0	763	727	978
1	188	181	190
2	194	0	0
3	0	182	194
4	266	191	244
5	345	0	0
6	0	227	309
7	499	0	414
8	655	274	0
9	0	334	471
10	1055	0	553
11	1435	444	0
12	0	504	700
13	2151	0	944
14	2493	634	0
15	0	0	1450
16	3069	847	1971
17	2841	1201	0
18	0	0	2866
19	2453	1607	3130
20	2426	2593	0
21	0	0	3754
22	2488	2973	3671
23	2349	0	0
24	0	3643	3382
25	2397	3953	3484
26	2320	0	0
27	0	4115	3504
28	2298	3639	3059
29	2336	0	0
30	0	3238	2974
31	2423	0	2919
32	2410	3010	0
33	0	2935	2977
34	2429	0	2916
35	2439	2894	0
36	0	2831	2881
37	2382	0	2815
38	2335	2775	0
39	0	0	2948
40	2139	2824	2759
41	1985	2727	0
42	1924	0	2586
43	0	2666	2513
44	1768	2661	0
45	1742	0	2347
46	0	2438	2306
47	1604	0	0
48	1515	2369	2253
49	0	2165	2063
50	1502	0	0
51	1418	2080	2095
52	0	2043	2052
53	1392	0	0
54	1404	1904	1974
55	0	0	2002
56	1289	1846	0
57	1360	1840	2047
58	0	0	1991
59	1309	1813	0
60	1337	1722	1959
61	0	0	1858
62	1235	1767	0
63	1343	0	1960
64	0	1713	1901
65	1257	1671	0
66	1230	0	1862
67	0	1669	1921
68	1307	1789	0
69	1324	0	1893
70	0	1706	1842
71	1275	0	0
72	1309	1727	1899
73	0	1695	1888
74	1400	0	0
75	1301	1763	1842
76	0	1636	1869
77	1328	0	0
78	1332	1708	1764
79	0	0	1738
80	1356	1698	0
81	1326	1698	1670
82	0	0	1771
83	1373	1709	0
84	1385	0	1682
85	1405	1609	0
86	0	1708	1708
87	1468	0	1664
88	1439	1576	0
89	0	1660	1660
90	1592	0	1668
91	1525	1602	0
92	0	0	1646
93	1693	1734	1684
94	1727	1713	0
95	0	0	1720
96	1793	1638	1593
97	1879	1694	0
98	0	0	1631
99	1842	1675	1653
100	1982	0	0
101	0	1779	1621
102	1898	1828	1581
103	2008	0	0
104	0	1804	1611
105	1953	1930	1671
106	1944	0	0
107	0	1885	1611
108	1959	0	1615
109	1943	1964	0
110	0	2039	1614
111	1968	0	1594
112	1932	1994	0
113	0	1993	1692
114	1927	0	1674
115	1876	2033	0
116	0	0	1642
117	1845	1966	1613
118	1797	2026	0
119	0	0	1651
120	1714	1948	1591
121	1750	1963	0
122	0	0	1509
123	1735	1930	1534
124	1724	0	0
125	0	1933	1435
126	1715	1858	1503
127	1638	0	0
128	1685	1769	1408
129	0	1725	1357
130	1631	0	0
131	1630	1713	1410
132	0	0	1358
133	1611	1556	0
134	1603	1569	1244
135	0	0	1296
136	1551	1533	0
137	1559	1387	1138
138	0	0	1159
139	1481	1347	0
140	1490	0	1128
141	0	1415	1026
142	1390	1372	0
143	1337	0	1091
144	0	1326	1015
145	1294	1277	0
146	1269	0	984
147	0	1346	946
148	1221	0	0
149	1202	1291	948
150	0	1268	922
151	1170	0	0
152	1100	1188	966
153	0	1126	914
154	1069	0	0
155	1068	1146	873
156	0	0	821
157	993	1119	0
158	1002	1070	830
159	0	0	763
160	946	991	0
161	938	1067	789
162	0	0	790
163	875	944	0
164	846	0	740
165	0	951	717
166	830	873	0
167	801	0	698
168	0	879	651
169	799	0	0
170	774	846	613
171	759	823	0
172	0	0	614
173	701	761	565
174	721	789	0
175	0	0	566
176	652	666	526
177	646	0	0
178	0	639	511
179	617	642	477
180	616	0	0
181	0	615	457
182	597	549	405
183	558	0	0
184	0	575	417
185	557	0	373
186	565	574	0
187	0	503	320
188	511	0	344
189	527	493	0
190	0	438	301
191	527	0	319
192	513	439	0
193	0	0	306
194	459	390	262
195	475	401	0
196	0	0	250
197	440	342	270
198	417	356	0
199	0	0	233
200	436	303	190
201	407	0	0
202	0	305	218
203	359	296	197
204	385	0	0
205	0	307	193
206	375	282	211
207	317	0	0
208	0	280	179
209	320	0	182
210	297	263	0
211	0	273	158
212	338	0	174
213	314	210	0
214	291	230	147
215	0	0	162
216	253	202	0
217	257	0	155
218	0	201	148
219	267	204	0
220	232	0	137
221	0	188	149
222	211	177	0
223	227	0	150
224	0	192	132
225	223	0	0
226	221	188	140
227	0	151	133
228	211	0	0
229	209	167	135
230	0	160	155
231	193	0	0
232	188	161	139
233	0	0	126
234	196	152	0
235	193	143	129
236	0	0	123
237	161	166	0
238	169	116	126
239	0	0	120
240	168	153	0
241	179	0	129
242	0	164	135
243	156	134	0
244	160	0	118
245	0	129	116
246	149	142	0
247	146	0	131
248	0	146	108
249	151	0	0
250	122	109	127
251	0	141	128
252	146	0	0
253	150	138	129
254	0	0	0
255	7657	7193	5502
