0	2	175	15
1	7	228	40
2	21	368	141
3	53	333	234
4	89	330	290
5	86	361	301
6	171	453	297
7	234	500	272
8	223	523	339
9	222	478	346
10	159	625	423
11	200	875	399
12	218	982	482
13	214	871	515
14	245	777	694
15	302	636	838
16	327	477	944
17	403	676	824
18	399	773	705
19	398	934	681
20	398	816	571
21	518	660	696
22	650	475	785
23	955	405	896
24	931	366	845
25	864	350	691
26	722	281	503
27	579	326	363
28	640	279	379
29	757	276	361
30	876	231	324
31	908	213	319
32	752	257	265
33	482	234	290
34	324	264	270
35	365	230	308
36	348	288	280
37	270	220	316
38	306	162	249
39	256	174	185
40	227	147	201
41	223	121	148
42	242	135	147
43	259	110	141
44	260	109	146
45	286	89	110
46	260	90	106
47	194	71	108
48	171	63	92
49	137	75	81
50	143	72	72
51	124	66	72
52	112	55	57
53	97	49	54
54	97	62	46
55	86	47	65
56	73	42	54
57	78	55	62
58	58	48	55
59	54	64	62
60	54	56	75
61	57	42	57
62	51	60	52
63	59	53	56
64	54	50	74
65	55	53	53
66	52	68	63
67	56	58	70
68	58	66	66
69	49	54	81
70	59	58	85
71	53	67	66
72	58	59	77
73	58	59	69
74	65	51	55
75	69	58	78
76	67	58	66
77	62	63	62
78	62	58	71
79	65	58	54
80	62	51	54
81	58	71	62
82	61	71	71
83	78	70	81
84	76	72	61
85	62	79	66
86	71	61	68
87	66	74	57
88	54	78	69
89	56	63	69
90	77	78	62
91	67	73	75
92	65	65	72
93	53	75	73
94	62	88	63
95	64	100	64
96	94	91	98
97	104	81	96
98	68	62	76
99	82	87	70
100	56	76	90
101	86	86	85
102	85	94	80
103	89	98	95
104	81	90	99
105	103	90	97
106	95	93	98
107	79	90	107
108	102	98	108
109	102	110	128
110	115	105	122
111	148	146	147
112	123	135	147
113	142	147	148
114	168	135	171
115	149	142	135
116	156	129	154
117	197	163	183
118	151	143	166
119	159	142	168
120	160	174	209
121	214	184	225
122	202	203	202
123	200	184	222
124	207	211	170
125	205	218	204
126	209	159	209
127	182	192	232
128	202	189	231
129	234	197	228
130	269	230	252
131	245	210	262
132	227	256	284
133	236	216	263
134	250	242	294
135	255	224	261
136	291	277	286
137	286	268	291
138	302	282	297
139	306	275	329
140	286	272	337
141	312	265	324
142	391	296	351
143	363	384	419
144	379	383	413
145	348	408	373
146	349	359	429
147	371	360	438
148	442	402	478
149	400	437	468
150	498	454	488
151	508	479	551
152	539	530	689
153	514	550	709
154	595	580	782
155	684	599	774
156	767	760	777
157	803	819	762
158	885	912	824
159	842	829	734
160	836	908	809
161	683	713	807
162	728	725	940
163	712	748	1082
164	811	825	957
165	1206	1253	1194
166	1323	1287	1195
167	1235	1202	1105
168	1072	1100	1195
169	913	886	1097
170	1181	1115	1372
171	1300	1231	1531
172	1426	1414	1666
173	1502	1513	1599
174	1396	1404	1392
175	1286	1384	1265
176	1257	1256	1415
177	1226	1121	1373
178	1305	1342	1390
179	1273	1285	1408
180	1394	1358	1628
181	1416	1429	1744
182	1596	1578	1581
183	1531	1609	1744
184	1318	1282	1745
185	1660	1505	1627
186	1831	1714	1456
187	1731	1718	1558
188	1607	1613	1554
189	1533	1555	1537
190	1398	1454	1743
191	1328	1243	1976
192	1690	1629	2241
193	1872	1820	2188
194	1941	1933	2874
195	1972	1952	3313
196	2298	2124	2336
197	2410	2589	2782
198	2286	1837	2222
199	3199	3036	2376
200	2715	2878	2177
201	2614	2757	2853
202	2363	2436	2492
203	2391	2608	2531
204	1940	2033	2702
205	1491	1499	2746
206	2077	2232	3165
207	2729	2540	2905
208	2748	2925	3382
209	3198	3285	3263
210	3327	3265	3277
211	2415	2528	4362
212	2042	1762	3694
213	2597	2407	3616
214	2900	2878	2890
215	3173	3157	3323
216	3275	3698	3390
217	3279	2987	3115
218	2206	2561	3373
219	1941	1734	2849
220	1917	1857	3919
221	2337	2034	3842
222	2301	2094	4613
223	2250	1973	4900
224	2581	2228	6050
225	2644	2212	7301
226	1748	2248	14399
227	2255	1703	9780
228	2418	2118	6688
229	2686	2051	20091
230	3098	2276	5431
231	3109	2465	3778
232	2405	2781	1797
233	2404	2753	1077
234	3374	2164	299
235	3416	2387	102
236	4098	3243	40
237	5328	3295	17
238	5790	3881	6
239	4827	5010	1
240	9695	5015	0
241	4750	4998	0
242	2513	2491	0
243	3219	10555	0
244	7371	3664	0
245	21213	2892	0
246	2626	4119	0
247	474	7522	0
248	193	19731	0
249	51	1532	0
250	5	103	0
251	3	17	0
252	0	0	0
253	0	0	0
254	0	0	0
255	0	0	0
